"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"AHMC Healthcare Inc. and affiliated Hospitals","CA","Healthcare Provider","729000","10/25/2013","Theft","Laptop","No","Two unencrypted laptop computers containing the protected health information (PHI) of 729,000 individuals were stolen from a secure office on October 23, 2013.  The types of PHI involved in the breach included financial information, diagnoses, conditions, treatment information, and demographic information.  The covered entity (CE), AHMC, provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE implemented and maintained an encryption plan.  It also developed policies and procedures regarding access to  and receipt and removal of electronic PHI (ePHI).  It also improved safeguards to reduce risks and vulnerabilities to ePHI.  As a result of this investigation, OCR provided technical assistance to the CE regarding its obligations to implement and maintain policies and procedures that comply with the Privacy and Security Rules, conduct an accurate and thorough risk analysis, and implement a risk management plan.  OCR also provided technical assistance regarding encryption."
"Greater Dallas Orthopaedics, PLLC","TX","Healthcare Provider","5840","10/28/2013","Theft","Desktop Computer","No","Two computers containing files with dictated letters were stolen from the covered entity (CE), Greater Dallas Orthopaedics, PLLC.  The protected health information (PHI) on the audio files included the names and medical information of approximately 5,840 individuals.  Upon discovering the breach, the CE filed a police report.  The CE provided breach notification to HHS, affected individuals, and the media. The CE improved physical security and retrained staff.   OCR obtained assurances that the CE implemented the corrective actions listed."
"Spirit Home Health Care, Corp","FL","Business Associate","603","10/29/2013","Improper Disposal","Paper/Films","Yes","\N"
"Rotech Healthcare Inc.","FL","Healthcare Provider","10680","10/29/2013","Unauthorized Access/Disclosure","Laptop","No","A former employee of the covered entity (CE), Rotech, removed and retained electronic files from a company computer, some of which contained the protected health information (PHI) of employees in relation to the CE’s group health plan.  The demographic, clinical and financial information of 10,680 individuals was affected by the breach.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE updated its policies and procedures regarding downloading of information from company-issued computers to external devices, retrieval of company-issued removable media from departing employees, and destruction of PHI and ePHI.  The CE improved safeguards by disabling USB ports on most computers and encrypting all company laptops.  Additionally, the CE conducted a HIPAA gap analysis, implemented a process for periodic analysis, and updated and secured the methods used to back up data.  Finally, the CE obtained outside experts to assist in reviewing and enhancing HIPAA training and retrained employees.  OCR obtained assurances that the corrective actions listed above were completed."
"Reimbursement Technologies, Inc.","PA","Healthcare Clearing House","2300","10/31/2013","Unauthorized Access/Disclosure","Network Server","No","An employee of the covered entity (CE), Reimbursement Technologies, Inc., impermissibly accessed the check images of approximately 2,300 patients.  The protected health information (PHI) involved in the breach included personal check information, including bank routing numbers, names and addresses.  Following the breach, the CE terminated the employee and reported the breach to the FBI for further investigation. The CE reviewed all the check images accessed and notified the guarantors and offered credit monitoring.  The CE monitored employee check viewing, further identified vulnerabilities, and updated its HIPAA policies and procedures, including requiring the check imaging vendor to truncate bank routing numbers.  The CE also improved safeguards by installing a new firewall.  OCR obtained assurance that the covered actions listed above were completed."
"Advocate Health and Hospitals Corporation","IL","Healthcare Provider","2237","11/01/2013","Theft","Laptop","No",""
"N/A","SC","Business Associate","3500","11/01/2013","Theft","Laptop","Yes","On October 28, 2013, the covered entity’s (CE) facility was broken into and an unencrypted laptop was stolen, affecting the demographic and clinical information of approximately 3,500 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE increased its facility’s physical security.  The CE also upgraded its technology and improved safeguards by encrypting equipment and communication containing ePHI, implementing a networked file server and domain, and   backing up client data to an encrypted cloud-based storage service.  Pursuant to OCR’s recommendations, the CE modified its policies and training procedures."
"Superior HealthPlan, Inc.","TX","Health Plan","6284","11/01/2013","Other","Paper/Films","No","The covered entity (CE), Superior HealthPlan, Inc., mistakenly sent mail containing protected health information (PHI) to unrelated members. Approximately 6,284 individuals were affected. The PHI involved in the breach included names, addresses, and identification numbers. The CE provided breach notification to HHS, the media, and affected individuals, and posted substitute notice on its website.  It also offered credit and identity theft protection to the affected parties.  As a result of OCR’s investigation, the CE implemented procedures to improve accuracy of mailings.  In addition, the CE improved safeguards by implementing a periodic audit to assure that IDs are matched to mailing addresses. "
"Genesis Rehabilitation Services","PA","Healthcare Provider","1167","11/01/2013","Loss","Other Portable Electronic Device","No","Two unencrypted flash drives containing the electronic protected health information (ePHI) of 1,167 individuals were stolen from a staff member’s office.  The ePHI involved in the breach included names, dates of birth, treatment and diagnosis information, medical insurance identification numbers, and, in some instances, social security numbers.  The covered entity (CE), Genesis Rehabilitation Services, provided breach notification to HHS, affected individuals, the media, and provided free credit monitoring.  The CE retrained all staff members on its policies regarding encryption of flash drives.  Additionally, OCR’s investigation resulted in the CE revising its HIPAA policies."
"Colorado Health & Wellness, Inc.","CO","Healthcare Provider","651","11/02/2013","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No","Colorado Health and Wellness reported an alleged impermissible use of protected health information by an employee, affecting up to 651 individuals. OCR determined that a breach had not occurred and provided technical assistance to the covered entity."
"Allina Health","MN","Healthcare Provider","3807","11/04/2013","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Barnabas Health Medical Group","NJ","Healthcare Provider","1100","11/05/2013","Theft","Laptop","No","\N"
"DaVita","CA","Healthcare Provider","11500","11/05/2013","Theft","Laptop","No","\N"
"Blue Cross and Blue Shield of North Carolina","NC","Health Plan","687","11/07/2013","Unauthorized Access/Disclosure","Paper/Films","No","On October 14, 2013, the covered entity (CE), Blue Cross Blue Shield of North Carolina, impermissibly disclosed the protected health information (PHI) of 687 individuals when an employee inadvertently mailed notices regarding policy changes to incorrect addresses.  The PHI involved in the breach included names.  The CE provided breach notification to HHS and affected individuals.  Following the breach the CE sanctioned the responsible workforce member.  As a result of OCR’s investigation, the CE provided media notice and established a toll-free number for affected individuals.  Additionally, the CE improved safeguards by retraining employees and initiating a regular review of mailing procedures."
"North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ","NC","Healthcare Provider","1315","11/08/2013","Unauthorized Access/Disclosure","Other","No","The covered entity (CE), North Carolina Department of Health and Human Services Division of State Operated Health Care Facilities, impermissibly disclosed the protected health information (PHI) of 1,315 individuals by exposing their PHI on its website, NC Open Book, without authorizations.  The PHI involved in the breach included patient payment information, names, addresses, and facility names, which were erroneously posted as vendor payments on the website.  The CE removed the information from the website immediately upon discovery.  The CE also provided breach notification to HHS, affected individuals, and the media, and placed substitute notice on its website.   In addition, the CE provided a toll-free phone number for affected individuals to obtain additional information.  Following the breach the CE implemented procedures limiting the types of personally identifiable information that are disclosed in the accounting system. Additionally, the CE improved safeguards for all HIPAA-related documents and email correspondence containing PHI.  Finally, the CE implemented a procedure that requires prior review of any data being released to the public and redaction of confidential information.  OCR obtained assurances that the corrective actions listed above were completed.  "
"Triple S Salud Inc.","PR","Business Associate","13336","11/08/2013","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Associated Urologists of North Carolina","NC","Healthcare Provider","7300","11/08/2013","Unauthorized Access/Disclosure","Other","No","\N"
"Kemmet Dental Design","ND","Healthcare Provider","2000","11/12/2013","Theft","Paper/Films","No","\N"
"Hospice of the Chesapeake","MD","Healthcare Provider","7606","11/12/2013","Theft","Email","No","Contrary to the covered entity's (CE) established policy, an employee emailed spreadsheets containing the electronic protected health information (ePHI) of 7,035 patients to a personal email account, and a third party may have viewed the spreadsheets.  The PHI included names, addresses, conditions, and diagnoses.  Following the breach, the CE hired an independent computer forensics firm which conducted an independent investigation. The investigation uncovered another spreadsheet containing the PHI of 571 additional patients in the employee's personal email account.  The CE provided breach notification to affected individuals, the media, and HHS, and posted substitute notice on its website.  The CE applied sanctions for violating its policy and terminated the responsible employee. As a result of OCR's investigation, OCR obtained assurances that the CE has periodically conducted risk assessments to assess vulnerabilities to ePHI in its computer systems."
"All Source Medical Management","AZ","Business Associate","1456","11/13/2013","Theft","Other","Yes","\N"
"Memorial Sloan-Kettering Cancer Center","NY","Healthcare Provider","2279","11/13/2013","Loss","Other Portable Electronic Device","No","\N"
"Health Fitness Corporation","IL","Business Associate","3804","11/14/2013","Theft","Laptop","Yes","An unencrypted company laptop was stolen from the car of the business associate’s (BA) employee.  The laptop contained the protected health information (PHI) of 3,804 individuals and included employees and/or spouses names, birthdates, health plan election, and social security numbers. The covered entity (CE) provided breach notification to HHS and the BA provided breach notification to affected individuals and the media.  In response to this incident, the CE implemented a policy requiring encryption on all laptops containing PHI.  The CE trained employees and provided refresher training regarding mobile device encryption.  The BA implemented a new certification process to ensure client owned mobile devices are encrypted.  OCR obtained assurances that the corrective actions listed above were taken."
"Health Fitness Corporation","IL","Business Associate","4837","11/14/2013","Theft","Laptop","Yes","\N"
"UHS-Pruitt Corporation","GA","Healthcare Provider","1300","11/15/2013","Theft","Laptop","No","A manager's unencrypted laptop computer was stolen from a hotel parking lot which also included the employee's login and system password and the covered entity's (CE) long term care software application.  The laptop contained 1,300 individuals' protected health information (PHI) and included names, social security numbers, addresses, dates of birth, bank account numbers, Medicare numbers, possible diagnoses, and patient locations. Following the breach, the CE changed the employee's password and performed an analysis to ensure no attempts had been made to access the system and long term care application using the prior account and password.  The CE improved safeguards by encrypting electronic devices and employing devices that do not allow local storage.  The CE has also re-trained employees.  OCR has consolidated this review into a compliance review that involves the same corporate entity and another stolen unencrypted laptop. \\\"
"United Dynacare, LLC dba Dynacare Laboratories","WI","Healthcare Provider","9328","11/18/2013","Theft","Other Portable Electronic Device","No","On October 22, 2013, the covered entity (CE) learned that one of its employee’s car was stolen with a mobile data drive (“flash drive”) that stored a database with protected health information (PHI).  The unencrypted flash drive contained the electronic PHI of approximately 9,328 individuals.  The types of ePHI involved in the breach included patients’ names, addresses, birth dates, social security numbers, and gender.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE sanctioned employees, improved safeguards related to encryption and mobile devices, updated and implemented policies and procedures, and retrained its workforce.   The flash drive was recovered after the breach notifications were mailed.  The forensic analysis of the recovered flash drive indicated that there was no evidence of unauthorized access of information.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Redwood Memorial Hospital","CA","Healthcare Provider","1039","11/19/2013","Loss","Other Portable Electronic Device","No","\N"
"University of California, San Francisco","CA","Healthcare Provider","8294","11/22/2013","Theft","Laptop, Paper/Films","No","\N"
"New Jersey Department of Human Services","NJ","Health Plan","9825","11/22/2013","Loss","Other Portable Electronic Device","No",""
"Kaiser Foundation Hospital- Orange County","CA","Healthcare Provider","49000","11/22/2013","Loss","Other Portable Electronic Device","No","\N"
"Molina Healthcare of Texas, Inc.","TX","Health Plan","","11/26/2013","Unauthorized Access/Disclosure","Other","No","The covered entity (CE), Molina Healthcare of Texas, Inc., inadvertently mailed Children Health Insurance Plan (CHIP) identification (ID) cards to the wrong households, affecting 2,826 individuals.  This occurred due to a mismatch between program ID numbers in the CE’s system after the ID numbers were changed.  The types of protected health information involved in the breach included names, addresses and other identifiers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the incident, the CE re-programmed its software and re-issued ID Cards to the affected individuals.  Additionally, the CE offered 12 months of free identity theft protection services.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Jones Chiropractic and Maximum Health","IN","Healthcare Provider","1500","11/26/2013","Theft","Desktop Computer","No","\N"
"Ronald Schubert MD PLLC","WA","Healthcare Provider","950","11/26/2013","Theft","Laptop","No","\N"
"UPMC","PA","Healthcare Provider","1279","11/27/2013","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"UW Medicine, Privacy Manager - Breach","WA","Healthcare Provider","76183","11/27/2013","Hacking/IT Incident","Desktop Computer","No","The University of Washington Medicine (UWM) has agreed to settle charges that it potentially violated the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Security Rule by failing to implement policies and procedures to prevent, detect, contain, and correct security violations.  UWM is an affiliated covered entity, which includes designated health care components and other entities under the control of the University of Washington, including University of Washington Medical Center, the primary teaching hospital of the University of Washington School of Medicine.  Affiliated covered entities must have in place appropriate policies and processes to assure HIPAA compliance with respect to each of the entities that are part of the affiliated group.  The settlement includes a monetary payment of $750,000, a corrective action plan, and annual reports on the organization’s compliance efforts.

The U.S. Department of Health and Human Services Office for Civil Rights (OCR) initiated its investigation of the UWM following receipt of a breach report on November 27, 2013, which indicated that the electronic protected health information (e-PHI) of approximately 90,000 individuals was accessed after an employee downloaded an email attachment that contained malicious malware. The malware compromised the organization’s IT system, affecting the data of two different groups of patients:  1) approximately 76,000 patients involving a combination of patient names, medical record numbers, dates of service, and/or charges or bill balances; and 2) approximately 15,000 patients involving names, medical record numbers, other demographics such as address and phone number, dates of birth, charges or bill balances, social security numbers, insurance identification or Medicare numbers.

OCR’s investigation indicated UWM’s security policies required its affiliated entities to have up-to-date, documented system-level risk assessments and to implement safeguards in compliance with the Security Rule.  However, UWM did not ensure that all of its affiliated entities were properly conducting risk assessments and appropriately responding to the potential risks and vulnerabilities in their respective environments.

“All too often we see covered entities with a limited risk analysis that focuses on a specific system such as the electronic medical record or that fails to provide appropriate oversight and accountability for all parts of the enterprise,” said OCR Director Jocelyn Samuels.  “An effective risk analysis is one that is comprehensive in scope and is conducted across the organization to sufficiently address the risks and vulnerabilities to patient data.”

The Resolution Agreement and Corrective Action Plan can be found on the OCR website at: http://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/uwm/index.html

HHS offers guidance on how your organization can conduct a HIPAA Risk Analysis:  http://www.healthit.gov/providers-professionals/security-risk-assessment
"
"City of Chicago","IL","Healthcare Provider","2080","11/29/2013","Unauthorized Access/Disclosure","Network Server","No","The covered entity (CE) mistakenly permitted protected health information (PHI) to be viewable on the Internet when users uploaded files without changing the default permission settings for the folders containing the files.  As a result, Google was able to detect and cache the PHI in the uploaded folders. Approximately 2,080 individuals were affected by this breach.  The types of PHI involved in the breach included students’ names, birthdates, genders, identification numbers, vision exam dates, diagnoses, and schools.  The CE provided breach notification to HHS, the parents and guardians of affected individuals, and the media.  It also posted notice on its website.  The CE took action to remove the files containing PHI from its network and compiled a list of files along with the associated unique record locator numbers (URLs) and cached URLs.  The CE contacted Google to request removal of the data from the cache and the archives, and Google confirmed that the data was removed.  OCR obtained assurances that the CE implemented the corrective actions listed above. "
"American Anesthesiology, Inc.","FL","Healthcare Provider","1000","12/04/2013","Unauthorized Access/Disclosure","Paper/Films","No","The covered entity’s (CE) business associate (BA), Financial Imaging, LLC, erroneously mailed 1,000 patient invoices to the wrong patients.  The types of protected health information (PHI) involved in the breach included patients’ names, dates of service, and procedures performed.  The BA sent breach notification letters to affected individuals and reimbursed the CE for all costs associated with breach notification it provided to the media.  Following the breach, the BA revised its quality assurance process to ensure the accuracy of future print jobs and counseled and retrained the staff involved in the breach.  The CE had a BA agreement in place and policies that were in compliance with the HIPAA Rules.  OCR obtained assurances that CE and BA implemented the corrective actions listed above."
"Medical Mutual of Ohio","OH","Health Plan","643","12/06/2013","Unauthorized Access/Disclosure","Paper/Films","No",""
"Quality Health Claims Consultants, LLC","IL","Business Associate","1573","12/06/2013","Theft","Email","Yes","The Covered Entity's (CE) Business Associate (BA) mailed letters to their clients to request certain documents containing identifying information. An erroneous fax number listing caused some clients to fax their information to the wrong number.  Approximately 1,573 individuals were affected by the breach.  The protected health information (PHI) involved included names, addresses, dates of birth, and social security numbers.  Following the breach, the BA confirmed that any faxes sent to the incorrect fax number were destroyed.   The BA also standardized all company literature to require manual data entry of client-specific contact information to assure quality control.  OCR  provided information to assist the CE to revise its BA agreement.  \\"
"SIU HealthCare","IL","Healthcare Provider","1891","12/06/2013","Loss, Theft","Laptop","No","\N"
"The Good Samaritan Health Center","GA","Healthcare Provider","5000","12/06/2013","Hacking/IT Incident","Desktop Computer","No","One of the covered entity's (CE) computers was infected with malware and as a result, data on the infected computer was encrypted and made inaccessible. The CE subsequently restored the infected data.  The type of protected health information (PHI) involved in the breach was clinical information and included diagnoses/conditions, lab results, medications, and other treatment information for approximately 5,000 individuals.  The CE provided breach notification to HHS,  affected individuals, and the media.  Following the breach, the CE retrained staff, implemented additional safeguards for secure file backup, and upgraded its antivirus software. In response to OCR’s investigation, the CE provided substitute notice of the breach. OCR provided the CE with technical assistance regarding the Security Rule including risk analysis and risk management.
"
"UniHealth Source","GA","Healthcare Provider","4500","12/06/2013","Theft","Laptop","No","\N"
"Walgreen Co.","IL","Healthcare Provider","17350","12/06/2013","Other","Paper/Films","No","\N"
"Methodist Dallas Medical Center","TX","Healthcare Provider","44000","12/06/2013","Unauthorized Access/Disclosure","Other","No","\N"
"Florida Digestive Health Specialists","FL","Healthcare Provider","4400","12/09/2013","Unauthorized Access/Disclosure","Desktop Computer","No","A patient scheduler at one of the covered entity’s (CE) small subsidiary offices impermissibly accessed the electronic health record (EHR) system via a virtual private network (VPN) and took photographic images of patient data, which she tried to download for printing at Wal-Mart. She accessed the records of about 4,400 patients and photographed those of 430. The protected health information (PHI) involved in the breach included names, addresses, dates of birth, social security numbers, and telephone numbers. The suspect behavior at Wal-Mart was investigated by the County Sheriff, who informed the CE of the breach. The CE provided partial breach notification to affected individuals, HHS, the media, and provided substitute notice on its website. Following the breach, the CE discharged the workforce member and terminated her access to the EHR. The CE updated its privacy and security plan and employee handbook.  In addition, the CE improved safeguards by limiting access to its VPN to providers and administrators, and instituted routine weekly audits of EHR system use. After OCR began its review, the covered entity retrained the office manager and the provider who had been at the office where the breach occurred. As a result of OCR’s investigation the CE received technical assistance on the complete requirements for breach notifications."
"Northside Hospital, Inc.","GA","Healthcare Provider","4879","12/10/2013","Loss","Laptop","No","A password-protected, unencrypted laptop was lost or stolen when a Northside Hospital (NSH) workforce member inadvertently left it on the hood of her car while parked. The laptop contained the electronic protected health information (ePHI) of 4,879 individuals. The ePHI involved in the breach included patients’ names, account numbers, billing dates, diagnoses and/or diagnosis codes, and lab results. The covered entity (CE), NSH, provided breach notification to HHS, affected individuals, and the media and provided substitute notification.  Following the breach, the CE encrypted all its ePHI.  As a result of OCR’s investigation, the CE also revised its HIPAA policies reguarding mobile devices and breach notification, and implemented other safeguards. "
"Health Help, Inc.","KY","Healthcare Provider","535","12/10/2013","Theft","Other Portable Electronic Device","No","An unencrypted portable computer drive containing the electronic protected health information (ePHI) of 535 individuals was stolen from a workforce member's unlocked personal vehicle parked at home.  The ePHI involved in the breach included names and birthdates.  Upon discovering the breach, the covered entity (CE) provided notice to HHS, affected individuals and the media.  Following the breach, the CE reminded employees of its safeguards policy, provided additional training to workforce members who are authorized to take laptops and mobile devices home, and improved safeguards by instituting random audits to ensure that unencrypted ePHI is not stored on computers and mobile devices.  The CE also updated the computer usage agreement for employees and sanctioned the workforce member for violating its policy.  OCR obtained assurances that the CE implemented the corrective action listed above."
"L.A. Gay & Lesbian Center","CA","Healthcare Provider","59000","12/10/2013","Hacking/IT Incident","Network Server","No","\N"
"Mosaic","NE","Healthcare Provider","3857","12/11/2013","Unauthorized Access/Disclosure","Email","No","The covered entity (CE), Mosaic, discovered multiple employee email accounts that had fallen victim to a phishing attack.  The affected e-mail accounts contained the following types of protected health information (PHI): clients’ names, dates of birth, addresses, telephone numbers, government–issued identification numbers, medical record numbers, insurance identification numbers, payment information, Medicaid and Medicare numbers, and in some instances social security numbers. This breach affected approximately 3,857 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE responded to the breach by blocking the IP address which was the source of the phishing scam, contacting the proper authorities to investigate possible criminal infractions, providing phishing scam awareness training, and changing its email practices. As a result of OCR’s investigation, the CE updated its HIPAA policies, created additional training material, and changed its training practices."
"Island Peer Review Organization","NY","Business Associate","9642","12/12/2013","Loss","Other Portable Electronic Device","Yes","\N"
"Molina Healthcare In","CA","Business Associate","1499","12/16/2013","Unauthorized Access/Disclosure","Network Server","Yes","A business associate (BA), Molina Healthcare of Virginia, for the covered entity (CE), Fairfax County, Virginia, used a subcontractor, Health Business Systems, Inc. (HBS), a subsidiary of Catamaran/HBS.  An employee of HBS placed a pharmacy claims report containing the protected health information (PHI) of 1,499 individuals in a non-secured file transfer protocol (FTP) site when troubleshooting issues during a systems conversion.  Upon discovering the breach, Catamaran/HBS notified the BA, conducted a thorough investigation and removed the file from the non-secure server.  A copy of the file was encrypted and password protected. The CE provided breach notification to HHS.  Affected individuals were offered free identify theft protection.  Following this breach, Catamaran/HBS retrained employees, updated its security software and enabled an alert feature when files containing potential PHI are saved on an FTP server.   OCR obtained written assurance that the CE implemented the corrective action listed above.   "
"Wyoming Department of Health","WY","Health Plan","11935","12/16/2013","Unauthorized Access/Disclosure","Network Server","No","\N"
"Shiloh Medical Clinic","MT","Healthcare Provider","1900","12/17/2013","Unauthorized Access/Disclosure","Desktop Computer, Email","No","The covered entity (CE) reported an alleged impermissible use of protected health information (PHI), affecting approximately 1,900 individuals, by an employee.  The PHI involved included patients’ demographic information.  OCR determined that a breach had not occurred and provided technical assistance to the CE on the minimum necessary standard and reasonable safeguards."
"DeLoach & Williamson","SC","Business Associate","3432","12/18/2013","Theft","Laptop","Yes","DeLoach & Williamson's (a business associate (BA) for South Carolina Health Insurance Pool) employee's car was broken into and her password-protected company laptop computer was stolen which contained the electronic protected health information (ePHI) of 3,432 individuals. The ePHI involved in the breach included social security numbers, names, dates of service, and provider identification numbers.  The BA provided breach notification to the covered entity, affected individuals, and HHS.  The covered entity provided breach notification to the media.  Following the breach, the BA immediately launched an internal investigation and retrained the subject employee on the company's  policies on privacy and security of electronic information.  Prior to the incident, the BA had decided to dissolve the company and it ceased operations by December 2013.  The BA intends to legally file for dissolution in December 2014. \\"
"Wyoming Department of Health","WY","Health Plan","11935","12/19/2013","Hacking/IT Incident","Network Server","No",""
"Colby DeHart","TN","Business Associate","2777","12/19/2013","Theft","Laptop","Yes","On October 21, 2013, an unencrypted laptop computer belonging to a Tennova Cardiology business associate (BA) was stolen from a vehicle. The laptop contained the protected health information (PHI) of 2,777 individuals, and included patient names, dates of birth, dates of service, names of referring physicians, and health information about treatment and diagnostic procedures. The CE provided breach notification to HHS, affected individuals, and the media.  In response to this breach, the covered entity (CE) conducted an encryption assessment of laptop computers with user system access to PHI and then encrypted all laptop computers.  The CE reviewed its policies, retrained staff, and implemented an encryption policy. The CE also terminated the BA agreement and moved the work in-house.  OCR obtained assurances that the CE implemented the corrective actions listed."
"ZDI","CA","Business Associate","1674","12/20/2013","Loss","Paper/Films","Yes","This case, along with two companion cases, involved data lost due to damage and/or opening of priority mail during processing and transit through the United States Post Office.  In this case, potentially 1,700 individuals may have been affected.  The types of protected health information (PHI) involved in the breach included names, social security numbers, group names, and group numbers.  The data was not recovered.  The covered entity (CE), Delta Dental of Pennsylvania, provided breach notification to HHS, affected individuals, and the media.  It also took immediate and appropriate steps to mitigate potential damages to individuals and to reduce the likelihood of recurrence.  From December 2013 to case closure in September 2015, no further incidents occurred, and OCR determined that the CE’s corrective actions were effective."
"Molina Healthcare of Texas, Inc.","TX","Health Plan","2826","12/21/2013","Other","Paper/Films","No","\N"
"Rob Meaglia, DDS","CA","Healthcare Provider","1400","12/23/2013","Theft","Desktop Computer","No","\N"
"Jeff Spiegel","MA","Healthcare Provider","832","12/23/2013","Unauthorized Access/Disclosure","Email","No","Dr. Jeffrey Spiegel’s practice, the covered entity (CE), mistakenly sent a promotional email to approximately 500 patients with an attachment that included the email addresses of 832 patients. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE instituted a new procedure that requires two employees to proof promotional emails prior to sending.  OCR obtained assurances that corrective actions listed above were completed."
"Tranquility Counseling Services","NC","Healthcare Provider","1683","12/23/2013","Other","Paper/Films","No","\N"
"Florida Department of Health","FL","Healthcare Provider","2354","12/23/2013","Unauthorized Access/Disclosure","Desktop Computer","No","\N"
"Barry University","FL","Healthcare Provider","9017","12/31/2013","Hacking/IT Incident","Laptop, Network Server","No",""
"New Mexico Oncology Hematology Consultants, LTD","NM","Healthcare Provider","12354","12/31/2013","Theft","Laptop","No","\N"
"Colorado Community Health Alliance (CCHA)/Physicians Health Partners","CO","Business Associate","1918","01/02/2014","Unauthorized Access/Disclosure","Email","Yes","\N"
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates","NJ","Business Associate","839711","01/03/2014","Theft","Laptop","Yes","\N"
"Phoebe Putney Memorial Hospital","GA","Healthcare Provider","6989","01/03/2014","Loss","Desktop Computer","No","\N"
"Coulee Medical Center","WA","Healthcare Provider","2500","01/03/2014","Theft","Email, Laptop, Network Server","No","The covered entity (CE), Coulee Medical Center, reported that a CE-employed physician disclosed electronic protected health information (ePHI) to his wife without authorization.  The ePHI involved in the breach included names, hospital account numbers, dates of service, CPT codes, and service descriptions for approximately 2,500 individuals.  The CE provided breach notification to HHS and affected individuals.  Upon discovering the breach, the CE sanctioned the physician, required the physician to complete comprehensive HIPAA training, and required all workforce members to complete annual HIPAA training.  As a result of OCR's investigation, the CE implemented new information security policies and procedures to better safeguard its ePHI.  OCR provided the CE with technical assistance regarding what constitutes an adequate Security Rule risk analysis and risk management plan, as well as what constitutes adequate notice to the media pursuant to the Breach Notification Rule.  \\"
"RevSpring, Inc.","MI","Business Associate","3000","01/06/2014","Other","Paper/Films","Yes","Due to a printing error at the covered entity’s (CE) business associate (BA), RevSpring, Inc., patients received billing statements containing other patients’ protected health information (PHI).  The breach affected approximately 3,000 individuals.  The types of PHI involved in the breach included names, account numbers, balances owed, procedure codes, procedure descriptions, providers’ names, and dates of services.  Following the breach, the CE obtained assurances from the BA that additional safeguards would be implemented to prevent future disclosures. OCR reviewed the CE’s policies and procedures to ensure compliance with the Privacy and Security Rules."
"North Carolina Department of Health and Human Services ","NC","Health Plan","48752","01/06/2014","Unauthorized Access/Disclosure","Other","No","\N"
"101 Family Medical Group, Privacy Manager Breach","CA","","2500","01/08/2014","Theft","Laptop","Yes","A laptop computer owned by Phressia, Inc., a business associate (BA) of the covered entity (CE), Family Medical Group, was stolen from the parked car of a Phreesia workforce member.  In violation of the BA’s policies and procedures, both the hard drive of the laptop, and the workforce member’s Dropbox account, which was accessible through the laptop, contained the electronic protected health information (ePHI) of approximately 2,500 patients. The types of PHI involved in the breach included patients’ names, addresses, identification numbers, phone numbers, email addresses, dates of birth, social security numbers, and insurance identification numbers.  Following the breach, the BA sanctioned the responsible workforce member and retrained workforce members on its privacy and security policies and procedures. The CE provided breach notification HHS, affected individuals, and the media. In response to OCR's investigation, the BA updated its policies and procedures on device and media controls and employee sanctions."
"Tri Lakes Medical Center","MS","Healthcare Provider","1489","01/10/2014","Hacking/IT Incident","Network Server","No","\N"
"Virginia Premier Health Plan (VPHP)","VA","Business Associate","25513","01/10/2014","Theft","Paper/Films","Yes","Virginia Premier Health Plan, a business associate (BA) of the covered entity (CE), Virginia Department of Medical Assistance Services (VA-DMAS), mailed incorrect postcards to Virginia Medicaid members.  The breach included 13,357 postcards that were mailed to the wrong address and 12,156 postcards that contained incorrect services information.  The information did not include social security numbers or financial information.  The BA provided breach notification to HHS, the media, and to affected individuals in English and Spanish.  Following this breach, the BA improved safeguards by retraining employees on safeguards for protected health information, updating procedures for mailings, and implementing additional quality control checks.   OCR obtained assurances that the BA implemented the corrective action listed above."
"Cook County Health & Hospitals System","IL","Healthcare Provider","22511","01/11/2014","Other","Email","No","\N"
"Southwest General Health Center","OH","Healthcare Provider","953","01/13/2014","Unknown","Other","No","The covered entity (CE) misplaced a binder containing the protected health information (PHI) of approximately 953 individuals from its Maternity Unit.  The PHI involved in the breach included names, dates of birth, medical record numbers and limited clinical information.  The CE provided breach notification to affected individuals, HHS, and the media.  To prevent a similar breach from occurring in the future, the covered entity strengthened its physical safeguards and retrained employees on safeguarding PHI.  OCR obtained assurances that the corrective actions listed above were completed.  "
